INSERT INTO `RECEIPT` VALUES 
1,6,2,'2023-02-17',4.000,15000000.00,NULL,14999999.00,0.03
2,11,12,'2022-11-16',4.000,28.39,NULL,18.00,2.00
3,11,12,'2022-10-25',1.000,27.55,NULL,27.55,27.55
4,13,12,'2022-08-29',11.000,39.90,NULL,9.00,4.00
5,14,12,'2022-08-27',4.000,5.30,NULL,1.00,0.75
6,20,12,'2022-07-01',1.000,11.13,NULL,11.13,11.13
7,19,12,'2022-07-04',5.000,32.33,NULL,8.00,6.00
8,18,12,'2022-07-11',2.000,13.76,NULL,6.88,6.88
10,21,31,'2023-02-17',4.000,112.79,NULL,65.99,4.00
11,23,31,'2023-02-09',3.000,15.02,NULL,4.00,1.00
12,28,31,'2023-02-17',4.000,96.98,NULL,85.21,1.00
13,26,31,'2023-01-31',5.000,21.63,NULL,13.00,7.00
14,21,31,'2023-02-17',2.000,-189.08,NULL,172.00,17.00
15,46,4,'2023-02-17',5.000,69000000.00,NULL,67000000.00,500000.00
16,34,41,'2022-09-15',3.000,84.77,NULL,52.71,7.03
17,35,38,'2022-09-13',2.000,38.16,NULL,14.08,14.08
18,32,40,'2023-01-28',1.000,13.77,NULL,13.77,13.77
19,33,37,'2023-01-16',3.000,38.03,NULL,17.00,5.73
